"Time","latitude","lat_error","longitude","lon_error","depth_km","depth_error","mag_val","rms","event_id","earthquake_name","event_type","evaluationStatus","creationInfo_author","creation_time","quality_usedPhaseCount","picks_mean"
1678434256.0000,0.7980,0.2121,-77.9232,0.2121,-1.0000,0.2000,1.7475,0.0500,igepn2023eulq,VT,volcanic eruption,reviewed,eacosta@srvmonscpv,2023-03-10 02:44:16,12.0000,6.0000
1678434080.0000,0.8038,0.2828,-77.9243,0.2828,-0.3700,0.4000,2.0010,0.0600,igepn2023euln,VT,volcanic eruption,reviewed,eacosta@srvmonscpv,2023-03-10 02:41:20,13.0000,7.0000
1678433960.0000,0.8022,0.1414,-77.9232,0.1414,-0.7300,0.2000,2.0428,0.0300,igepn2023eulm,VT,volcanic eruption,reviewed,eacosta@srvmonscpv,2023-03-10 02:39:20,12.0000,6.0000
1678433723.0000,0.8132,0.2828,-77.9242,0.2828,-0.6600,0.3000,1.7649,0.0600,igepn2023euli,VT,volcanic eruption,reviewed,eacosta@srvmonscpv,2023-03-10 02:35:23,13.0000,6.0000
1678433659.0000,0.7978,0.2121,-77.9305,0.2121,-0.8000,0.2000,1.7408,0.0700,igepn2023eulh,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 02:34:19,16.0000,6.0000
1678433418.0000,0.7548,0.4950,-77.9443,0.4950,-1.5400,0.7000,2.0006,0.1000,igepn2023eule,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 02:30:18,15.0000,6.0000
1678433213.0000,0.8038,0.4950,-77.9290,0.4950,-1.8600,0.6000,2.1269,0.1200,igepn2023eulb,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 02:26:53,15.0000,6.0000
1678432603.0000,0.8102,0.2121,-77.9292,0.2121,-0.1500,0.3000,1.8622,0.0600,igepn2023euks,VT,volcanic eruption,reviewed,eacosta@srvmonscpv,2023-03-10 02:16:43,13.0000,6.0000
1678432287.0000,0.7950,0.2828,-77.9332,0.2828,-2.2100,0.2000,2.3722,0.0800,igepn2023euko,VT,volcanic eruption,reviewed,eacosta@srvmonscpv,2023-03-10 02:11:27,13.0000,6.0000
1678432094.0000,0.7825,0.6364,-77.9300,0.6364,-2.0000,0.7000,2.2661,0.2300,igepn2023eukl,VT,volcanic eruption,reviewed,eacosta@srvmonscpv,2023-03-10 02:08:14,23.0000,11.0000
1678431943.0000,0.8033,0.4950,-77.9288,0.4950,-0.5200,0.5000,2.2926,0.2700,igepn2023eukj,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 02:05:43,25.0000,8.0000
1678431836.0000,0.8038,0.4950,-77.9308,0.4950,3.2900,2.0000,1.4454,0.3200,igepn2023euki,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 02:03:56,15.0000,6.0000
1678431696.0000,0.7785,1.0607,-77.9277,1.0607,-2.0000,1.3000,1.6542,0.3500,igepn2023eukh,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 02:01:36,18.0000,7.0000
